Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper version	Conda id	Conda version
hcluster_sg	hcluster_sg	Hierarchically clustering on a sparse graph						To update	https://github.com/douglasgscofield/hcluster	Phylogenetics	hcluster_sg	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/hcluster_sg	0.5.1.1	hcluster_sg	0.5.1
hcluster_sg_parser	hcluster_sg_parser	Converts hcluster_sg 3-column output into lists of ids						To update	https://github.com/TGAC/earlham-galaxytools/	Phylogenetics	hcluster_sg_parser	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/hcluster_sg_parser	0.2.1		
lotus2	lotus2	LotuS2 OTU processing pipeline	lotus2	lotus2	LotuS2 is a lightweight and user-friendly pipeline that is fast, precise, and streamlined, using extensive pre- and post-ASV/OTU clustering steps to further increase data quality. High data usage rates and reliability enable high-throughput microbiome analysis in minutes.	Sequence feature detection	Metagenomics	To update	http://lotus2.earlham.ac.uk/	Metagenomics	lotus2	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/lotus2	2.28.1	lotus2	2.30
miranda	miranda	Finds potential target sites for miRNAs in genomic sequences						To update	http://www.microrna.org/	RNA	miranda	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/miranda	3.3a+galaxy1	miranda	3.3a
plotheatmap	plotheatmap	This tool can be used to plot heatmap of gene expression data. The genes are chosen based on p-value, FDR, log FC and log CPM from edgeR output.						To update		Computational chemistry	plotheatmap	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/plotheatmap	1.0	bioconductor-preprocesscore	1.64.0
rdock	rdock	Docking ligands to proteins and nucleic acids						To update	http://rdock.sourceforge.net/	Computational chemistry	rdock	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/rdock/	1.0	rDock	2013.1
replace_chromosome_names	replace_chromosome_names	Replace chromosome names						To update		Text Manipulation	replace_chromosome_names	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/replace_chromosome_names/	0.1	python	
rsat_filter_snps	rsat_filter_snps	Filter SNPs in RSAT Matrix Scan output						To update	https://github.com/TGAC/earlham-galaxytools/	ChIP-seq, Systems Biology	rsat_filter_snps	earlham	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/rsat_filter_snps	0.1		
smart_domains	smart_domains	SMART domains						To update	http://smart.embl.de/	Sequence Analysis	smart_domains	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/smart_domains	0.1.0	perl-bioperl	1.7.8
smina	smina	smina is a fork of Autodock Vina (http://vina.scripps.edu/) that focuses on improving scoring and minimization						To update	https://sourceforge.net/projects/smina/	Computational chemistry	smina	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/smina/	1.0	smina	2017.11.9
t_coffee	t_coffee	T-Coffee						To update	http://www.tcoffee.org/	Sequence Analysis	t_coffee	earlhaminst	https://github.com/TGAC/earlham-galaxytools/tree/master/tools/t_coffee	13.45.0.4846264	t-coffee	13.46.0.919e8c6b
abacas	abacas	Order and Orientate Contigs						To update	https://github.com/phac-nml/abacas	Assembly	abacas	nml	https://github.com/phac-nml/abacas	1.1	mummer	3.23
assemblystats	assemblystats	Summarise an assembly (e.g. N50 metrics)						To update	https://github.com/phac-nml/galaxy_tools	Assembly	assemblystats	nml	https://github.com/phac-nml/galaxy_tools	1.1.0	perl-bioperl	1.7.8
bam2mappingstats	bam2mappingstats	Generates mapping stats from a bam file.						To update	https://github.com/phac-nml/galaxy_tools	Assembly	bam2mappingstats	nml	https://github.com/phac-nml/galaxy_tools	1.1.0	perl	
bamclipper	bamclipper	Soft-clip gene-specific primers from BAM alignment file based on genomic coordinates of primer pairs in BEDPE format.						Up-to-date	https://github.com/tommyau/bamclipper	Sequence Analysis	bamclipper	nml	https://github.com/tommyau/bamclipper	1.0.0	bamclipper	1.0.0
biohansel	biohansel	Heidelberg and Enteritidis SNP Elucidation						To update	https://github.com/phac-nml/biohansel	Sequence Analysis	biohansel	nml	https://github.com/phac-nml/biohansel	2.4.0	bio_hansel	2.6.1
biohansel_bionumeric_converter	bionumeric_convert	Convert BioHansel output data to a Bionumerics friendly form						To update	https://github.com/phac-nml/galaxy_tools	Text Manipulation	biohansel_bionumeric_converter	nml		0.2.0	pandas	
bundle_collections	bundle_collection	Tool to bundle up list collection into a single zip to be download						To update		Sequence Analysis	bundle_collections	nml		1.3.0	perl-getopt-long	2.54
collapse_collection	collapse_dataset	Collection tool that collapses a list of files into a single datasset in order of appears in collection						To update		Sequence Analysis	collapse_collections	nml		5.1.0	gawk	
combineJSON	combine_json	JSON collection tool that takes multiple JSON data arrays and combines them into a single JSON array.						To update		Sequence Analysis	combine_json	nml		0.1		
combine_assembly_stats	combine_stats	Combine multiple Assemblystats datasets into a single tabular report						To update	https://github.com/phac-nml/galaxy_tools	Assembly	combine_assemblystats	nml	https://github.com/phac-nml/galaxy_tools	1.0	perl-getopt-long	2.54
combine_tabular_collection	combine	Combine Tabular Collection into a single file						To update		Sequence Analysis	combine_tabular_collection	nml		0.1		
concat_paired	concat_fastqs	Concatenate paired datasets						To update	https://github.com/phac-nml/concat	Text Manipulation	concat_paired	nml	https://github.com/phac-nml/concat	0.2		
cryptogenotyper	CryptoGenotyper	CryptoGenotyper is a standalone tool to *in-silico*  determine species and subtype based on SSU rRNA and gp60 markers.						Up-to-date	https://github.com/phac-nml/CryptoGenotyper	Sequence Analysis	cryptogenotyper	nml	https://github.com/phac-nml/CryptoGenotyper	1.0	cryptogenotyper	1.0
csvtk	csvtk_awklike_filter, csvtk_awklike_mutate, csvtk_collapse, csvtk_concat, csvtk_convert, csvtk_correlation, csvtk_cut, csvtk_filter, csvtk_freq, csvtk_gather, csvtk_join, csvtk_mutate, csvtk_plot, csvtk_replace, csvtk_sample, csvtk_separate, csvtk_sort, csvtk_split, csvtk_summary, csvtk_uniq	Rapid data investigation and manipulation of csv/tsv files						To update	https://bioinf.shenwei.me/csvtk/	Text Manipulation	csvtk	nml	https://github.com/shenwei356/csvtk	0.20.0	csvtk	0.29.0
ectyper	ectyper	EC-Typer - in silico serotyping of Escherichia coli species						Up-to-date	https://github.com/phac-nml/ecoli_serotyping	Sequence Analysis	ectyper	nml	https://github.com/phac-nml/ecoli_serotyping	1.0.0	ectyper	1.0.0
fasta2bed	fasta2bed	Convert multiple fasta file into tabular bed file format						To update	https://github.com/phac-nml/galaxy_tools	Sequence Analysis	fasta2bed	nml	https://github.com/phac-nml/galaxy_tools	1.0.0	perl-bioperl	1.7.8
fasta_extract	fa-extract-sequence	extract single fasta from multiple fasta file						To update	https://toolshed.g2.bx.psu.edu/view/nml/fasta_extract	Sequence Analysis	fasta_extract	nml	https://toolshed.g2.bx.psu.edu/view/nml/fasta_extract	1.1.0	perl-bioperl	1.7.8
fastqc_stats	FastQC_Summary	Summary multiple FastQC into a single tabular line report						To update	https://github.com/phac-nml/galaxy_tools	Sequence Analysis	fastqc_stats	nml	https://github.com/phac-nml/galaxy_tools	1.2	perl-bioperl	1.7.8
feht	feht	Automatically identify makers predictive of groups.						To update	https://github.com/phac-nml/galaxy_tools	Sequence Analysis	feht	nml	https://github.com/phac-nml/galaxy_tools	0.1.0	feht	1.1.0
filter_spades_repeats	filter_spades_repeat	Remove short and repeat contigs/scaffolds						To update	https://github.com/phac-nml/galaxy_tools/	Assembly	filter_spades_repeats	nml	https://github.com/phac-nml/galaxy_tools/	1.0.1	perl-bioperl	1.7.8
getmlst	getmlst	Download MLST datasets by species from pubmlst.org						To update		Sequence Analysis	getmlst	nml		0.1.4.1	srst2	0.2.0
gnali	gnali	A tool to find nonessential, loss-of-function gene variants						Up-to-date	https://github.com/phac-nml/gnali/	Variant Analysis	gnali	nml	https://github.com/phac-nml/gnali/	1.1.0	gnali	1.1.0
hivtrace	hivtrace	An application that identifies potential transmission clusters within a supplied FASTA file with an option to find potential links against the Los Alamos HIV Sequence Database.						To update		Sequence Analysis	hivtrace	nml	https://github.com/phac-nml/galaxy_tools/tree/tools/hivtrace	1.0.1	hivtrace	1.5.0
kaptive	kaptive	Kaptive reports information about capsular (K) loci found in genome assemblies.						To update		Sequence Analysis	kaptive	nml		0.3.0	kaptive	2.0.6
kat_filter	kat_@EXECUTABLE@	Filtering kmers or reads from a database of kmers hashes						To update		Sequence Analysis	kat_filter	nml		2.3	kat	2.4.2
kat_sect	kat_@EXECUTABLE@	SEquence Coverage estimator Tool. Estimates the coverage of each sequence in a file using K-mers from another sequence file.						To update			kat_sect	nml		2.3	kat	2.4.2
mauve_contig_mover	mauve_contig_mover	Order a draft genome relative to a related reference genome						To update	https://github.com/phac-nml/mauve_contig_mover	Sequence Analysis	mauve_contig_mover	nml	https://github.com/phac-nml/mauve_contig_mover	1.0.10	mauve	2.4.0.snapshot_2015_02_13
mob_suite	mob_recon, mob_typer	MOB-suite is a set of software tools for clustering, reconstruction and typing of plasmids from draft assemblies						To update	https://github.com/phac-nml/mob-suite	Sequence Analysis	mob_suite	nml	https://github.com/phac-nml/mob-suite	3.0.3	mob_suite	3.1.7
mrbayes	mrbayes	A program for the Bayesian estimation of phylogeny.						To update		Sequence Analysis	mrbayes	nml		1.0.2	mrbayes	3.2.7
mykrobe_parser	mykrobe_parseR	RScript to parse the results of mykrobe predictor.						To update	https://github.com/phac-nml/mykrobe-parser	Sequence Analysis	mykrobe_parser	nml	https://github.com/phac-nml/mykrobe-parser	0.1.4.1	r-base	
pangolin	pangolin	Phylogenetic Assignment of Named Global Outbreak LINeages						To update	https://github.com/hCoV-2019/pangolin	Sequence Analysis	pangolin	nml	https://github.com/hCoV-2019/pangolin	1.1.14	pangolin	4.3
patrist	patrist	Extract Patristic Distance From a Tree						To update	https://gist.github.com/ArtPoon/7330231e74201ded54b87142a1d6cd02	Phylogenetics	patrist	nml	https://github.com/phac-nml/patrist	0.1.2	python	
plasmid_profiler	plasmid_profiler	Explores plasmid content in WGS data						To update			plasmid_profiler	nml		0.1.6	r	
plasmid_profiler_suite		Plasmid Profiler suite defining all dependencies for Plasmid Profiler						To update		Sequence Analysis	suite_plasmid_profiler	nml				
plasmidspades	plasmidspades	Genome assembler for assemblying plasmid						To update		Assembly	plasmidspades	nml		1.1	spades	3.15.5
pneumocat	pneumocat	Pneumococcal Capsular Typing of illumina fastq reads						Up-to-date	https://github.com/phe-bioinformatics/PneumoCaT	Variant Analysis	pneumocat	nml	https://github.com/phe-bioinformatics/PneumoCaT	1.2.1	pneumocat	1.2.1
promer	promer4_substitutions	Aligns two sets of contigs and reports amino acid substitutions between them						To update	https://github.com/phac-nml/promer	Assembly	promer	nml	https://github.com/phac-nml/promer	1.2	python	
pseudogenome	pseudogenome	Create a pseudogenome from a multiple fasta file either with a JCVI linker or custom length and characters.						To update	https://github.com/phac-nml/galaxy_tools	Sequence Analysis	pseudogenome	nml		1.0.0	perl-bioperl	1.7.8
quasitools	aacoverage, aavariants, callcodonvar, callntvar, complexity_bam, complexity_fasta, consensus, distance, dnds, drmutations, hydra, quality	A collection of tools for analysing Viral Quasispecies						Up-to-date	https://github.com/phac-nml/quasitools	Sequence Analysis	quasitools	nml	https://github.com/phac-nml/quasitools	0.7.0	quasitools	0.7.0
refseq_masher	refseq_masher_contains, refseq_masher_matches	Find what genomes match or are contained within your sequence data using Mash_ and a Mash sketch database.						Up-to-date	https://github.com/phac-nml/refseq_masher	Sequence Analysis	refseq_masher	nml	https://github.com/phac-nml/refseq_masher	0.1.2	refseq_masher	0.1.2
seqtk_nml	seqtk_nml_sample	Tool to downsample fastq reads						To update	https://github.com/lh3/seqtk	Sequence Analysis	seqtk_nml	nml	https://github.com/phac-nml/snvphyl-galaxy	1.0.1	seqtk	r82
sistr_cmd	sistr_cmd	SISTR in silico serotyping tool						Up-to-date	https://github.com/phac-nml/sistr_cmd	Sequence Analysis	sistr_cmd	nml		1.1.1	sistr_cmd	1.1.1
smalt	smalt	SMALT aligns DNA sequencing reads with a reference genome.						Up-to-date	http://www.sanger.ac.uk/science/tools/smalt-0	Sequence Analysis	smalt	nml	https://sourceforge.net/projects/smalt/	0.7.6	smalt	0.7.6
spades_header_fixer	spades_header_fixer	Fixes Spades Fasta ids						To update	https://github.com/phac-nml/galaxy_tools	Fasta Manipulation	spades_fasta_header_fixer	nml	https://github.com/phac-nml/galaxy_tools	1.1.2+galaxy1	sed	
spatyper	spatyper	Determines SPA type based on repeats in a submitted staphylococcal protein A fasta file.						Up-to-date	https://github.com/HCGB-IGTP/spaTyper	Sequence Analysis	spatyper	nml	https://github.com/phac-nml/galaxy_tools/tree/master/tools/spatyper	0.3.3	spatyper	0.3.3
spolpred	spolpred	A program for predicting the spoligotype from raw sequence reads						To update		Sequence Analysis	spolpred	nml		1.0.1	spolpred	
srst2	srst2	Short Read Sequence Typing for Bacterial Pathogens						To update		Sequence Analysis	srst2	nml		0.3.7	srst2	0.2.0
staramr	staramr_search	Scan genome contigs against the ResFinder, PlasmidFinder, and PointFinder antimicrobial resistance databases.						Up-to-date	https://github.com/phac-nml/staramr	Sequence Analysis	staramr	nml	https://github.com/phac-nml/galaxy_tools/tree/master/tools/staramr	0.10.0	staramr	0.10.0
stringmlst	stringmlst	Rapid and accurate identification of the sequence type (ST)						To update		Sequence Analysis	stringmlst	nml		1.1.0	stringMLST	0.6.3
tree_relabeler	tree_relabel	Relabels the tips of a newick formatted tree.						To update		Text Manipulation	tree_relabeler	nml	https://github.com/phac-nml/galaxy_tools/blob/master/tools/tree_relabeler	1.1.0	perl-bioperl	1.7.8
wade	wade	identify regions of interest						To update	https://github.com/phac-nml/wade	Sequence Analysis	wade	nml	https://github.com/phac-nml/wade	0.2.5+galaxy1	wade	0.2.6
camera	abims_CAMERA_annotateDiffreport, abims_CAMERA_combinexsAnnos							To update		Metabolomics	camera	workflow4metabolomics		1.48.0	r-snow	0.3_13
correlation_analysis	correlation_analysis	[Metabolomics][W4M] Metabolites Correlation Analysis						To update	http://workflow4metabolomics.org	Metabolomics	correlation_analysis	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/correlation_analysis/	1.0.1+galaxy0	r-batch	1.1_4
genform	genform	genform: generation of molecular formulas by high-resolution MS and MS/MS data						To update	https://sourceforge.net/projects/genform/	Metabolomics	genform	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/genform/		genform	r8
influx_si	influx_si	metabolic flux estimation based on [in]stationary labeling						To update	https://github.com/sgsokol/influx	Metabolomics	influx_si	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/influx_si/	5.1.0	influx_si	7.0.1
ipo	ipo4retgroup, ipo4xcmsSet	[W4M][LC-MS] IPO						To update	https://github.com/rietho/IPO	Metabolomics	ipo	lecorguille	https://github.com/rietho/IPO	1.10.0	bioconductor-ipo	1.28.0
isoplot	isoplot	Isoplot is a software for the visualisation of MS data from C13 labelling experiments						To update		Metabolomics, Visualization	isoplot	workflow4metabolomics	https://github.com/llegregam/Isoplot/tree/main	1.3.0+galaxy1	isoplot	1.3.1
kmd_hmdb_data_plot	kmd_hmdb_data_plot	retrieves data from KMD HMDB API and produce plot and csv file						To update	https://github.com/workflow4metabolomics/tools-metabolomics	Metabolomics	kmd_hmdb_data_plot	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/blob/master/tools/kmd_hmdb_data_plot/	1.0.0	python	
mixmodel4repeated_measures	mixmodel4repeated_measures	[Metabolomics][W4M][Statistics] Mixed models - Analysis of variance for repeated measures using mixed model						To update	http://workflow4metabolomics.org	Metabolomics	mixmodel4repeated_measures	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics	3.1.0	r-lme4	
ms2snoop	ms2snoop	[W4M][Utils] Extraction et nettoyage des spectre MS1/2 post-traitement MSPurity.						To update	http://workflow4metabolomics.org	Metabolomics	ms2snoop	workflow4metabolomics		2.2.1	r-base	
nmr_annotation	NmrAnnotation	[Metabolomics][W4M][NMR] NMR Annotation - Annotation of complex mixture NMR spectra and metabolite proportion estimation						To update	http://workflow4metabolomics.org	Metabolomics	nmr_annotation	marie-tremblay-metatoul	https://github.com/workflow4metabolomics/nmr_annotation	3.0.0	r-batch	1.1_4
nmr_annotation2d	2DNmrAnnotation	[Metabolomics][W4M][NMR] NMR Annotation2D - Automatic annotation of bi-dimensional NMR spectra						To update	http://workflow4metabolomics.org	Metabolomics	2dnmrannotation	marie-tremblay-metatoul	https://github.com/workflow4metabolomics/tools-metabolomics	2.0.0	r-batch	1.1_4
nmr_preprocessing	NMR_Preprocessing, NMR_Read	[Metabolomics][W4M][NMR] NMR Preprocessing - Preprocessing of 1D NMR spectra from FID to baseline correction						To update	http://workflow4metabolomics.org	Metabolomics	nmr_preprocessing	marie-tremblay-metatoul	https://github.com/workflow4metabolomics/nmr_preprocessing		r-batch	1.1_4
normalization	normalization	[Metabolomics][W4M][ALL] Normalization (operation applied on each individual spectrum) of preprocessed data						To update	http://workflow4metabolomics.org	Metabolomics	normalization	marie-tremblay-metatoul	https://github.com/workflow4metabolomics/normalization	1.0.7	r-batch	1.1_4
physiofit	physiofit	PhysioFit is a scientific tool designed to i) quantify exchange (production and consumption) fluxes and ii) cell growth rate during (batch) cultivations of microorganisms. Fluxes are estimated from time-course measurements of extracellular metabolites and biomass concentrations. PhysioFit has been designed to calculate fluxes in batch experiments, assuming cells are in metabolic (pseudo) steady-state (i.e. fluxes are constant during the experiment).						Up-to-date		Metabolomics	physiofit	workflow4metabolomics	https://github.com/MetaSys-LISBP/PhysioFit	2.2.1	physiofit4galaxy	2.2.1
physiofit_manager	physiofit_data_manager	Handling of physiofit input files						Up-to-date	https://github.com/MetaboHUB-MetaToul-FluxoMet/PhysioFit_Data_Manager	Metabolomics	physiofit_manager	workflow4metabolomics		1.0.1	physiofit_data_manager	1.0.1
xcms	abims_xcms_fillPeaks, abims_xcms_group, abims_xcms_refine, abims_xcms_retcor, abims_xcms_summary, abims_xcms_xcmsSet, msnbase_readmsdata, xcms_export_samplemetadata, xcms_merge, xcms_plot_chromatogram							To update	https://github.com/sneumann/xcms	Metabolomics	xcms	workflow4metabolomics	https://github.com/workflow4metabolomics/tools-metabolomics/	3.12.0	bioconductor-xcms	4.0.0
apollo	create_account, feat_from_gff3, create_or_update, delete_features, delete_organism, export, fetch_jbrowse, iframe, list_organism	Access an Apollo instance from Galaxy						To update	https://github.com/galaxy-genome-annotation/python-apollo	Web Services		gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/apollo		apollo	4.2.13
askomics	askomics_integrate	Galaxy tools allowing to interact with a remote AskOmics server.AskOmics is a visual SPARQL query builder for RDF database.https://github.com/askomics/						To update	https://github.com/askomics/	Web Services		gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/askomics		askocli	0.5
chado	analysis_add_analysis, analysis_delete_analyses, analysis_get_analyses, export_export_fasta, export_export_gbk, export_export_gff3, expression_add_biomaterial, expression_add_expression, expression_delete_all_biomaterials, expression_delete_biomaterials, expression_get_biomaterials, feature_delete_features, feature_get_features, feature_load_fasta, feature_load_featureprops, feature_load_gff, feature_load_go, load_blast, load_interpro, organism_add_organism, organism_delete_all_organisms, organism_delete_organisms, organism_get_organisms, phylogeny_gene_families, phylogeny_gene_order, phylogeny_load_tree	Galaxy tools allowing to load data into a remote Chado database.Chado is a member of the GMOD family of tools.https://github.com/galaxy-genome-annotation/python-chado						To update	https://github.com/galaxy-genome-annotation/python-chado	Web Services		gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/chado		python-chado	2.3.9
genenotebook	genenotebook_build	Galaxy tools allowing to load data into a GeneNoteBook database.https://genenotebook.github.io						To update	https://genenotebook.github.io	Web Services		gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/genenotebook	0.4.9	genoboo	0.4.12
jbrowse	jbrowse_to_container	A tool allowing to export a JBrowse dataset into a JBrowse docker container						To update	https://jbrowse.org	Web Services	jbrowse_to_container	gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/jbrowse		python	
repeatexplorer2	repeatexplorer_clustering	Tool for annotation of repeats from unassembled shotgun reads.						To update	https://github.com/repeatexplorer/repex_tarean	Genome annotation	repeatexplorer2	gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/repeatexplorer2	2.3.8		
tripal	analysis_add_analysis, analysis_get_analyses, analysis_load_blast, analysis_load_fasta, analysis_load_gff3, analysis_load_go, analysis_load_interpro, analysis_sync, db_index, db_populate_mviews, entity_publish, expression_add_biomaterial, expression_add_expression, expression_delete_biomaterials, expression_get_biomaterials, expression_sync_biomaterials, feature_delete_orphans, feature_sync, organism_add_organism, organism_get_organisms, organism_sync, phylogeny_sync	Galaxy tools allowing to load data into a remote Tripal server.Tripal is a toolkit for construction of online biological (genetics, genomics, breeding, etc), community database,and is a member of the GMOD family of tools. Tripal provides by default integration with the GMOD Chado database schema and Drupal, a popular Content Management Systems (CMS).https://github.com/galaxy-genome-annotation/python-tripal						To update	https://github.com/galaxy-genome-annotation/python-tripal	Web Services		gga	https://github.com/galaxy-genome-annotation/galaxy-tools/tree/master/tools/tripal		python-tripal	3.2.1
w4mcorcov	w4mcorcov	OPLS-DA Contrasts of Univariate Results						To update	https://github.com/HegemanLab/w4mcorcov_galaxy_wrapper	Metabolomics	w4mcorcov	eschen42	https://github.com/HegemanLab/w4mcorcov_galaxy_wrapper/tree/master	0.98.18	r-base	
w4mclassfilter	w4mclassfilter	Filter W4M data by values or metadata						To update	https://github.com/HegemanLab/w4mclassfilter_galaxy_wrapper	Metabolomics	w4mclassfilter	eschen42	https://github.com/HegemanLab/w4mclassfilter_galaxy_wrapper/tree/master	0.98.19	r-base	
w4mjoinpn	w4mjoinpn	Join positive- and negative-mode W4M datasets						To update	https://github.com/HegemanLab/w4mjoinpn_galaxy_wrapper	Metabolomics	w4mjoinpn	eschen42	https://github.com/HegemanLab/w4mjoinpn_galaxy_wrapper/tree/master	0.98.2	coreutils	8.25
